_id,timeStampID,rssiLVNGRM,rssiBDRM,rssiKTCHN
ObjectId(61ab8bbca3245215261db8ca),1636644120,-100,-100,-100
ObjectId(61ab8bbca3245215261db8cb),1636644180,-100,-100,-100
ObjectId(61ab8bbca3245215261db8cc),1636644240,-100,-100,-100
ObjectId(61ab8bbca3245215261db8cd),1636644300,-100,-100,-100
ObjectId(61ab8bbca3245215261db8ce),1636644360,-100,-100,-100
ObjectId(61ab8bbca3245215261db8cf),1636644420,-100,-100,-100
ObjectId(61ab8bbca3245215261db8d0),1636644480,-100,-100,-100
ObjectId(61ab8bbca3245215261db8d1),1636644540,-100,-100,-100
ObjectId(61ab8bbca3245215261db8d2),1636644600,-100,-100,-100
ObjectId(61ab8bbca3245215261db8d3),1636644660,-100,-100,-100
ObjectId(61ab8bbca3245215261db8d4),1636644720,-100,-100,-100
ObjectId(61ab8bbca3245215261db8d5),1636644780,-100,-100,-100
ObjectId(61ab8bbca3245215261db8d6),1636644840,-100,-100,-100
ObjectId(61ab8bbca3245215261db8d7),1636644900,-100,-100,-100
ObjectId(61ab8bbda3245215261db8d8),1636644960,-100,-100,-100
ObjectId(61ab8bbda3245215261db8d9),1636645020,-100,-100,-100
ObjectId(61ab8bbda3245215261db8da),1636645080,-100,-100,-100
ObjectId(61ab8bbda3245215261db8db),1636645140,-100,-100,-100
ObjectId(61ab8bbda3245215261db8dc),1636645200,-100,-100,-100
ObjectId(61ab8bbda3245215261db8dd),1636645260,-100,-100,-100
ObjectId(61ab8bbda3245215261db8de),1636645320,-100,-100,-100
ObjectId(61ab8bbda3245215261db8df),1636645380,-100,-100,-100
ObjectId(61ab8bbda3245215261db8e0),1636645440,-100,-100,-100
ObjectId(61ab8bbda3245215261db8e1),1636645500,-100,-100,-100
ObjectId(61ab8bbda3245215261db8e2),1636645560,-100,-100,-100
ObjectId(61ab8bbda3245215261db8e3),1636645620,-100,-100,-100
ObjectId(61ab8bbda3245215261db8e4),1636645680,-100,-100,-100
ObjectId(61ab8bbda3245215261db8e5),1636645740,-100,-100,-100
ObjectId(61ab8bbda3245215261db8e6),1636645800,-100,-100,-100
ObjectId(61ab8bbda3245215261db8e7),1636645860,-100,-100,-100
ObjectId(61ab8bbda3245215261db8e8),1636645920,-100,-100,-100
ObjectId(61ab8bbda3245215261db8e9),1636645980,-100,-100,-100
ObjectId(61ab8bbda3245215261db8ea),1636646040,-100,-100,-100
ObjectId(61ab8bbda3245215261db8eb),1636646100,-100,-100,-100
ObjectId(61ab8bbda3245215261db8ec),1636646160,-100,-100,-100
ObjectId(61ab8bbda3245215261db8ed),1636646220,-100,-100,-100
ObjectId(61ab8bbda3245215261db8ee),1636646280,-100,-100,-100
ObjectId(61ab8bbda3245215261db8ef),1636646340,-100,-100,-100
ObjectId(61ab8bbda3245215261db8f0),1636646400,-100,-100,-100
ObjectId(61ab8bbda3245215261db8f1),1636646460,-100,-100,-100
ObjectId(61ab8bbda3245215261db8f2),1636646520,-100,-100,-100
ObjectId(61ab8bbda3245215261db8f3),1636646580,-100,-100,-100
ObjectId(61ab8bbda3245215261db8f4),1636646640,-100,-100,-100
ObjectId(61ab8bbda3245215261db8f5),1636646700,-100,-100,-100
ObjectId(61ab8bbda3245215261db8f6),1636646760,-100,-100,-100
ObjectId(61ab8bbda3245215261db8f7),1636646820,-100,-100,-100
ObjectId(61ab8bbda3245215261db8f8),1636646880,-100,-100,-100
ObjectId(61ab8bbda3245215261db8f9),1636646940,-100,-100,-100
ObjectId(61ab8bbea3245215261db8fa),1636647000,-100,-100,-100
ObjectId(61ab8bbea3245215261db8fb),1636647060,-100,-100,-100
